Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,629,2828,101,10635,"2453,85","3,498%","27,85898","6,64","3,99","244,2"
user_info_2,607,4177,103,10468,"3357,77","22,735%","27,14426","23,48","5,10","885,9"
user_info_3,469,3361,8,10524,"3041,07","29,424%","21,14708","19,05","3,63","922,2"
object_info_1,331,3112,107,10520,"3131,71","22,054%","15,01951","10,46","1,89","713,1"
object_info_2,258,3008,16,10177,"2967,10","22,481%","11,78674","10,00","1,49","868,7"
object_info_3,200,2717,160,10292,"2630,48","22,500%","9,18949","7,32","1,16","815,8"
object_info_4,155,2938,141,10358,"2841,06","16,774%","7,22005","4,16","0,98","589,9"
TOTAL,2649,3283,8,10635,"3000,63","18,875%","117,31101","79,51","17,94","694,1"
